10/06/18,16:00:00,10/06/18,18:00:00,GremioxAmerica-MG,Arena do Gremio,Brasileirão
13/06/18,21:45:00,10/06/18,23:45:00,InternacionaxVasco da Gama,Beira Rio,Brasileirão
