datetime,weekday,hour,grid_w,grid_h,evento,obras,manifestacoes,holiday,holiday_eve,humidity,cloud,tempC,windHph,pressureIn,precipIn,condition,tag_1,tag_2,tag_3,tag_4
2018-06-29 08:53:16,4,8,178,174,True,False,False,False,False,96,81,17.50,5.00,30.50,0.05,1183,Tráfego Pesado,Clima,,
2018-06-27 16:39:18,2,16,177,170,True,False,False,False,False,83,0,14.60,1.40,30.50,0.00,1000,Outros,,,
2018-06-27 16:39:18,2,16,179,170,True,False,False,False,False,83,0,14.60,1.40,30.50,0.00,1000,Outros,,,
2018-06-27 16:37:37,2,16,179,169,True,False,False,False,False,83,0,14.60,1.40,30.50,0.00,1000,Tráfego Livre,,,
2018-06-27 16:00:04,2,16,179,169,True,False,False,False,False,83,0,14.60,1.40,30.50,0.00,1000,Tráfego Livre,,,
2018-06-01 18:09:36,4,18,197,190,True,False,False,False,False,84,79,19.80,7.60,30.40,0.02,1153,Tráfego Pesado,,,
2018-06-01 18:09:36,4,18,196,190,True,False,False,False,False,84,79,19.80,7.60,30.40,0.02,1153,Tráfego Pesado,,,
2018-06-01 15:15:16,4,15,197,190,True,False,False,False,False,84,79,19.80,7.60,30.40,0.02,1153,Tráfego Pesado,Clima,,
2018-06-01 14:30:09,4,14,197,190,True,False,False,False,False,84,79,19.80,7.60,30.40,0.02,1153,Clima,,,
2018-06-01 14:30:09,4,14,196,190,True,False,False,False,False,84,79,19.80,7.60,30.40,0.02,1153,Clima,,,
2018-06-01 13:18:24,4,13,197,190,True,False,False,False,False,84,79,19.80,7.60,30.40,0.02,1153,Clima,,,
2018-06-01 13:18:24,4,13,196,190,True,False,False,False,False,84,79,19.80,7.60,30.40,0.02,1153,Clima,,,
2018-06-01 13:05:23,4,13,197,190,True,False,False,False,False,84,79,19.80,7.60,30.40,0.02,1153,Tráfego Livre,,,
2018-06-01 13:05:23,4,13,196,190,True,False,False,False,False,84,79,19.80,7.60,30.40,0.02,1153,Tráfego Livre,,,
2018-06-01 12:03:18,4,12,197,190,True,False,False,False,False,84,79,19.80,7.60,30.40,0.02,1153,Tráfego Pesado,Incidentes,,
2018-05-31 14:52:01,3,14,197,190,True,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Outros,,,
2018-05-31 14:52:01,3,14,196,190,True,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Outros,,,
2018-05-31 14:40:26,3,14,258,144,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Outros,,,
2018-05-31 14:40:26,3,14,253,146,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Outros,,,
2018-05-31 14:24:38,3,14,197,190,True,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Outros,,,
2018-05-31 14:24:38,3,14,196,190,True,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Outros,,,
2018-05-31 14:13:33,3,14,253,158,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Incidentes,Tráfego Pesado,,
2018-05-31 14:13:33,3,14,252,159,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Incidentes,Tráfego Pesado,,
2018-05-31 14:10:44,3,14,189,158,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Incidentes,Tráfego Pesado,,
2018-05-31 14:10:44,3,14,190,156,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Incidentes,Tráfego Pesado,,
2018-05-31 13:53:05,3,13,164,229,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Obstrução,Tráfego Livre,,
2018-05-31 13:53:05,3,13,184,198,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Obstrução,Tráfego Livre,,
2018-05-31 13:49:13,3,13,197,201,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Outros,,,
2018-05-31 13:49:13,3,13,196,199,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Outros,,,
2018-05-31 13:27:52,3,13,138,229,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Obstrução,,,
2018-05-31 13:27:52,3,13,139,228,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Obstrução,,,
2018-05-31 13:08:44,3,13,197,190,True,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Tráfego Livre,,,
2018-05-31 13:08:44,3,13,196,190,True,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Tráfego Livre,,,
2018-05-31 12:13:20,3,12,197,190,True,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Outros,,,
2018-05-31 12:13:20,3,12,258,144,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Outros,,,
2018-05-31 11:48:10,3,11,201,211,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Obstrução,Tráfego Livre,,
2018-05-31 11:43:08,3,11,177,338,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Tráfego Pesado,,,
2018-05-31 11:43:08,3,11,179,338,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Tráfego Pesado,,,
2018-05-31 11:21:08,3,11,197,190,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Outros,,,
2018-05-31 11:21:08,3,11,196,190,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Outros,,,
2018-05-31 11:18:03,3,11,147,344,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Tráfego Pesado,,,
2018-05-31 11:18:03,3,11,147,343,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Tráfego Pesado,,,
2018-05-31 10:28:53,3,10,197,190,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Obstrução,Tráfego Pesado,,
2018-05-31 10:28:53,3,10,160,229,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Obstrução,Tráfego Pesado,,
2018-05-31 10:22:07,3,10,255,331,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Obstrução,,,
2018-05-31 10:22:07,3,10,232,230,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Obstrução,,,
2018-05-31 10:00:45,3,10,190,187,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Incidentes,Obstrução,Tráfego Livre,
2018-05-31 10:00:45,3,10,187,187,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Incidentes,Obstrução,Tráfego Livre,
2018-05-31 09:30:42,3,9,237,268,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Incidentes,Tráfego Livre,,
2018-05-31 09:30:42,3,9,228,265,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Incidentes,Tráfego Livre,,
2018-05-31 09:00:19,3,9,197,190,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Outros,,,
2018-05-31 09:00:19,3,9,196,190,False,False,False,True,False,64,12,20.50,6.50,30.50,0.00,1003,Outros,,,
2018-05-30 19:15:49,2,19,197,190,True,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Outros,,,
2018-05-30 19:15:49,2,19,196,190,True,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Outros,,,
2018-05-30 18:29:51,2,18,202,171,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Obstrução,,,
2018-05-30 18:29:51,2,18,199,175,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Obstrução,,,
2018-05-30 18:26:38,2,18,196,189,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Obstrução,Tráfego Pesado,,
2018-05-30 18:26:38,2,18,195,192,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Obstrução,Tráfego Pesado,,
2018-05-30 18:21:57,2,18,213,197,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Obstrução,,,
2018-05-30 18:08:04,2,18,197,190,True,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Obstrução,,,
2018-05-30 18:08:04,2,18,202,171,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Obstrução,,,
2018-05-30 17:57:00,2,17,234,255,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Tráfego Pesado,,,
2018-05-30 17:57:00,2,17,233,256,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Tráfego Pesado,,,
2018-05-30 17:57:00,2,17,202,287,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Tráfego Pesado,,,
2018-05-30 17:57:00,2,17,214,399,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Tráfego Pesado,,,
2018-05-30 17:42:03,2,17,194,415,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Obstrução,Tráfego Pesado,,
2018-05-30 17:42:03,2,17,193,408,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Obstrução,Tráfego Pesado,,
2018-05-30 17:38:31,2,17,128,214,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Tráfego Pesado,,,
2018-05-30 17:38:31,2,17,126,215,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Tráfego Pesado,,,
2018-05-30 17:32:10,2,17,198,403,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Obstrução,,,
2018-05-30 17:32:10,2,17,195,404,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Obstrução,,,
2018-05-30 17:20:08,2,17,198,403,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Incidentes,Obstrução,,
2018-05-30 17:20:08,2,17,195,404,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Incidentes,Obstrução,,
2018-05-30 17:01:01,2,17,345,170,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Tráfego Pesado,,,
2018-05-30 17:01:01,2,17,328,153,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Tráfego Pesado,,,
2018-05-30 15:32:17,2,15,205,268,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Outros,,,
2018-05-30 15:32:17,2,15,178,267,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Outros,,,
2018-05-30 15:32:15,2,15,239,259,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Tráfego Pesado,,,
2018-05-30 15:32:15,2,15,240,260,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Tráfego Pesado,,,
2018-05-30 15:32:15,2,15,177,338,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Outros,,,
2018-05-30 15:32:15,2,15,179,338,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Outros,,,
2018-05-30 15:32:14,2,15,239,259,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Tráfego Pesado,,,
2018-05-30 15:32:14,2,15,240,260,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Tráfego Pesado,,,
2018-05-30 15:07:17,2,15,197,190,True,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Outros,,,
2018-05-30 15:07:17,2,15,196,190,True,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Outros,,,
2018-05-30 14:54:05,2,14,135,213,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Incidentes,Tráfego Pesado,,
2018-05-30 14:54:05,2,14,126,213,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Incidentes,Tráfego Pesado,,
2018-05-30 14:48:50,2,14,202,171,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Incidentes,Obstrução,Tráfego Pesado,
2018-05-30 14:48:50,2,14,199,175,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Incidentes,Obstrução,Tráfego Pesado,
2018-05-30 13:48:04,2,13,77,242,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Outros,,,
2018-05-30 13:48:04,2,13,183,168,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Outros,,,
2018-05-30 13:18:04,2,13,164,229,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Obstrução,,,
2018-05-30 13:18:04,2,13,164,228,False,False,False,False,True,69,11,20.00,6.80,30.60,0.00,1000,Obstrução,,,
