datetime,weekday,hour,grid_w,grid_h,evento,obras,manifestacoes,holiday,holiday_eve,humidity,cloud,tempC,windHph,pressureIn,precipIn,condition,tag_1,tag_2,tag_3,tag_4
2018-06-29 09:21:09,4,9,178,174,True,False,False,False,False,96,81,17.50,5.00,30.50,0.05,1183,Tráfego Pesado,,,
2018-06-29 09:21:09,4,9,180,170,True,False,False,False,False,96,81,17.50,5.00,30.50,0.05,1183,Tráfego Pesado,,,
2018-06-29 09:21:09,4,9,179,172,True,False,False,False,False,96,81,17.50,5.00,30.50,0.05,1183,Tráfego Pesado,,,
2018-06-29 09:21:09,4,9,180,169,True,False,False,False,False,96,81,17.50,5.00,30.50,0.05,1183,Tráfego Pesado,,,
2018-06-29 09:21:09,4,9,179,173,True,False,False,False,False,96,81,17.50,5.00,30.50,0.05,1183,Tráfego Pesado,,,
2018-06-29 08:53:16,4,8,178,174,True,False,False,False,False,96,81,17.50,5.00,30.50,0.05,1183,Tráfego Pesado,Clima,,
2018-06-29 08:53:16,4,8,180,170,True,False,False,False,False,96,81,17.50,5.00,30.50,0.05,1183,Tráfego Pesado,Clima,,
2018-06-29 08:53:16,4,8,179,172,True,False,False,False,False,96,81,17.50,5.00,30.50,0.05,1183,Tráfego Pesado,Clima,,
2018-06-29 08:53:16,4,8,180,169,True,False,False,False,False,96,81,17.50,5.00,30.50,0.05,1183,Tráfego Pesado,Clima,,
2018-06-29 08:53:16,4,8,179,173,True,False,False,False,False,96,81,17.50,5.00,30.50,0.05,1183,Tráfego Pesado,Clima,,
2018-06-29 07:00:11,4,7,180,167,True,False,False,False,False,96,81,17.50,5.00,30.50,0.05,1183,Tráfego Pesado,,,
2018-06-29 07:00:11,4,7,180,168,True,False,False,False,False,96,81,17.50,5.00,30.50,0.05,1183,Tráfego Pesado,,,
2018-06-29 07:00:11,4,7,180,169,True,False,False,False,False,96,81,17.50,5.00,30.50,0.05,1183,Tráfego Pesado,,,
2018-06-27 16:39:18,2,16,177,170,True,False,False,False,False,83,0,14.60,1.40,30.50,0.00,1000,Outros,,,
2018-06-27 16:39:18,2,16,179,170,True,False,False,False,False,83,0,14.60,1.40,30.50,0.00,1000,Outros,,,
2018-06-27 16:39:18,2,16,179,169,True,False,False,False,False,83,0,14.60,1.40,30.50,0.00,1000,Outros,,,
2018-06-27 16:39:18,2,16,177,169,True,False,False,False,False,83,0,14.60,1.40,30.50,0.00,1000,Outros,,,
2018-06-27 16:37:37,2,16,179,169,True,False,False,False,False,83,0,14.60,1.40,30.50,0.00,1000,Tráfego Livre,,,
2018-06-27 16:37:37,2,16,177,169,True,False,False,False,False,83,0,14.60,1.40,30.50,0.00,1000,Tráfego Livre,,,
2018-06-27 16:37:37,2,16,177,170,True,False,False,False,False,83,0,14.60,1.40,30.50,0.00,1000,Tráfego Livre,,,
2018-06-27 16:37:37,2,16,179,170,True,False,False,False,False,83,0,14.60,1.40,30.50,0.00,1000,Tráfego Livre,,,
2018-06-27 16:00:04,2,16,179,169,True,False,False,False,False,83,0,14.60,1.40,30.50,0.00,1000,Tráfego Livre,,,
2018-06-27 16:00:04,2,16,177,169,True,False,False,False,False,83,0,14.60,1.40,30.50,0.00,1000,Tráfego Livre,,,
2018-06-27 16:00:04,2,16,177,170,True,False,False,False,False,83,0,14.60,1.40,30.50,0.00,1000,Tráfego Livre,,,
2018-06-27 16:00:04,2,16,179,170,True,False,False,False,False,83,0,14.60,1.40,30.50,0.00,1000,Tráfego Livre,,,
2018-06-22 09:30:14,4,9,179,169,True,False,False,False,False,77,33,17.60,10.80,30.60,0.02,1240,Tráfego Livre,,,
2018-06-22 09:30:14,4,9,177,169,True,False,False,False,False,77,33,17.60,10.80,30.60,0.02,1240,Tráfego Livre,,,
2018-06-22 09:30:14,4,9,177,170,True,False,False,False,False,77,33,17.60,10.80,30.60,0.02,1240,Tráfego Livre,,,
2018-06-22 09:30:14,4,9,179,170,True,False,False,False,False,77,33,17.60,10.80,30.60,0.02,1240,Tráfego Livre,,,
2018-06-01 18:09:36,4,18,197,190,True,False,False,False,False,84,79,19.80,7.60,30.40,0.02,1153,Tráfego Pesado,,,
2018-06-01 18:09:36,4,18,196,190,True,False,False,False,False,84,79,19.80,7.60,30.40,0.02,1153,Tráfego Pesado,,,
2018-06-01 15:15:16,4,15,197,190,True,False,False,False,False,84,79,19.80,7.60,30.40,0.02,1153,Tráfego Pesado,Clima,,
2018-06-01 15:15:16,4,15,196,190,True,False,False,False,False,84,79,19.80,7.60,30.40,0.02,1153,Tráfego Pesado,Clima,,
2018-06-01 14:30:09,4,14,197,190,True,False,False,False,False,84,79,19.80,7.60,30.40,0.02,1153,Clima,,,
2018-06-01 14:30:09,4,14,196,190,True,False,False,False,False,84,79,19.80,7.60,30.40,0.02,1153,Clima,,,
2018-06-01 13:18:24,4,13,197,190,True,False,False,False,False,84,79,19.80,7.60,30.40,0.02,1153,Clima,,,
2018-06-01 13:18:24,4,13,196,190,True,False,False,False,False,84,79,19.80,7.60,30.40,0.02,1153,Clima,,,
2018-06-01 13:05:23,4,13,197,190,True,False,False,False,False,84,79,19.80,7.60,30.40,0.02,1153,Tráfego Livre,,,
2018-06-01 13:05:23,4,13,196,190,True,False,False,False,False,84,79,19.80,7.60,30.40,0.02,1153,Tráfego Livre,,,
2018-06-01 12:03:18,4,12,197,190,True,False,False,False,False,84,79,19.80,7.60,30.40,0.02,1153,Tráfego Pesado,Incidentes,,
